alias,term
fetomaternal hemorrhage,fetomaternal transfusion
fetomaternal hemorrhages,fetomaternal transfusion
"hemorrhages, fetomaternal",fetomaternal transfusion
fever,fever
fevers,fever
pyrexia,fever
pyrexias,fever
fever of unknown origin,fever of unknown origin
unknown origin fever,fever of unknown origin
unknown origin fevers,fever of unknown origin
fibrocystic breast disease,fibrocystic breast disease
"breast disease, fibrocystic",fibrocystic breast disease
"disease, fibrocystic breast",fibrocystic breast disease
mammary dysplasia,fibrocystic breast disease
"dysplasia, mammary",fibrocystic breast disease
fibrocystic disease of breast,fibrocystic breast disease
breast fibrocystic disease,fibrocystic breast disease
fibrocystic mastopathy,fibrocystic breast disease
"mastopathy, fibrocystic",fibrocystic breast disease
breast dysplasia,fibrocystic breast disease
"dysplasia, breast",fibrocystic breast disease
fibrocystic changes of breast,fibrocystic breast disease
breast fibrocystic change,fibrocystic breast disease
breast fibrocystic changes,fibrocystic breast disease
microglandular adenosis,fibrocystic breast disease
"adenoses, microglandular",fibrocystic breast disease
"adenosis, microglandular",fibrocystic breast disease
microglandular adenoses,fibrocystic breast disease
adenosis of breast,fibrocystic breast disease
breast adenosis,fibrocystic breast disease
chronic cystic mastitis,fibrocystic breast disease
"cystic mastitis, chronic",fibrocystic breast disease
cystic breast disease,fibrocystic breast disease
"breast disease, cystic",fibrocystic breast disease
"disease, cystic breast",fibrocystic breast disease
cystic disease of breast,fibrocystic breast disease
breast cystic disease,fibrocystic breast disease
breast cystic diseases,fibrocystic breast disease
fibroma,fibroma
fibromas,fibroma
myxofibroma,fibroma
myxofibromas,fibroma
fibromyxoma,fibroma
fibromyxomas,fibroma
fibromatosis,fibroma
fibromatoses,fibroma
"fibromatosis, gingival","fibromatosis, gingival"
gingival fibromatosis,"fibromatosis, gingival"
"fibromatoses, gingival","fibromatosis, gingival"
gingival fibromatoses,"fibromatosis, gingival"
fibromatosis gingivae,"fibromatosis, gingival"
fibromuscular dysplasia,fibromuscular dysplasia
"dysplasia, fibromuscular",fibromuscular dysplasia
fibromuscular dysplasias,fibromuscular dysplasia
fibromuscular dysplasia of arteries,fibromuscular dysplasia
arteries fibromuscular dysplasia,fibromuscular dysplasia
arteries fibromuscular dysplasias,fibromuscular dysplasia
fibrosarcoma,fibrosarcoma
fibrosarcomas,fibrosarcoma
fibrosis,fibrosis
fibroses,fibrosis
cirrhosis,fibrosis
fibromyalgia,fibromyalgia
fibromyalgias,fibromyalgia
fibromyalgia-fibromyositis syndrome,fibromyalgia
fibromyalgia fibromyositis syndrome,fibromyalgia
fibromyalgia-fibromyositis syndromes,fibromyalgia
"syndrome, fibromyalgia-fibromyositis",fibromyalgia
"syndromes, fibromyalgia-fibromyositis",fibromyalgia
"rheumatism, muscular",fibromyalgia
muscular rheumatism,fibromyalgia
fibrositis,fibromyalgia
fibrositides,fibromyalgia
"myofascial pain syndrome, diffuse",fibromyalgia
diffuse myofascial pain syndrome,fibromyalgia
fibromyositis-fibromyalgia syndrome,fibromyalgia
fibromyositis fibromyalgia syndrome,fibromyalgia
fibromyositis-fibromyalgia syndromes,fibromyalgia
"syndrome, fibromyositis-fibromyalgia",fibromyalgia
"syndromes, fibromyositis-fibromyalgia",fibromyalgia
"fibromyalgia, secondary",fibromyalgia
"fibromyalgias, secondary",fibromyalgia
secondary fibromyalgia,fibromyalgia
secondary fibromyalgias,fibromyalgia
"fibromyalgia, primary",fibromyalgia
"fibromyalgias, primary",fibromyalgia
primary fibromyalgia,fibromyalgia
primary fibromyalgias,fibromyalgia
fibrous dysplasia of bone,fibrous dysplasia of bone
bone fibrous dysplasia,fibrous dysplasia of bone
bone fibrous dysplasias,fibrous dysplasia of bone
osteitis fibrosa disseminata,fibrous dysplasia of bone
jaffe-lichtenstein disease,fibrous dysplasia of bone
jaffe lichtenstein disease,fibrous dysplasia of bone
fibrocystic dysplasia of bone,fibrous dysplasia of bone
bone fibrocystic dysplasia,fibrous dysplasia of bone
bone fibrocystic dysplasias,fibrous dysplasia of bone
fibrocartilaginous dysplasia of bone,fibrous dysplasia of bone
bone fibrocartilaginous dysplasia,fibrous dysplasia of bone
bone fibrocartilaginous dysplasias,fibrous dysplasia of bone
"fibrous dysplasia, monostotic","fibrous dysplasia, monostotic"
"dysplasia, monostotic fibrous","fibrous dysplasia, monostotic"
"dysplasias, monostotic fibrous","fibrous dysplasia, monostotic"
"fibrous dysplasias, monostotic","fibrous dysplasia, monostotic"
monostotic fibrous dysplasia,"fibrous dysplasia, monostotic"
monostotic fibrous dysplasias,"fibrous dysplasia, monostotic"
"fibrous dysplasia, polyostotic","fibrous dysplasia, polyostotic"
"dysplasia, polyostotic fibrous","fibrous dysplasia, polyostotic"
"dysplasias, polyostotic fibrous","fibrous dysplasia, polyostotic"
"fibrous dysplasias, polyostotic","fibrous dysplasia, polyostotic"
polyostotic fibrous dysplasias,"fibrous dysplasia, polyostotic"
polyostotic fibrous dysplasia,"fibrous dysplasia, polyostotic"
albright syndrome,"fibrous dysplasia, polyostotic"
"syndrome, albright","fibrous dysplasia, polyostotic"
mccune-albright syndrome,"fibrous dysplasia, polyostotic"
mccune albright syndrome,"fibrous dysplasia, polyostotic"
"syndrome, mccune-albright","fibrous dysplasia, polyostotic"
albright's disease,"fibrous dysplasia, polyostotic"
fibrous dysplasia with pigmentary skin changes and precocious puberty,"fibrous dysplasia, polyostotic"
albright's syndrome with precocious puberty,"fibrous dysplasia, polyostotic"
albright-mccune-sternberg syndrome,"fibrous dysplasia, polyostotic"
albright-sternberg syndrome,"fibrous dysplasia, polyostotic"
albright's syndrome,"fibrous dysplasia, polyostotic"
"syndrome, albright's","fibrous dysplasia, polyostotic"
albright's disease of bone,"fibrous dysplasia, polyostotic"
filariasis,filariasis
filariases,filariasis
"infections, filarioidea",filariasis
filarioidea infection,filariasis
"infection, filarioidea",filariasis
filarioidea infections,filariasis
elaeophoriasis,filariasis
elaeophoriases,filariasis
finger injuries,finger injuries
"injuries, finger",finger injuries
finger injury,finger injuries
"injury, finger",finger injuries
fish diseases,fish diseases
"disease, fish",fish diseases
"diseases, fish",fish diseases
fish disease,fish diseases
fissure in ano,fissure in ano
anal fissure,fissure in ano
"fissure, anal",fissure in ano
anal ulcer,fissure in ano
anal ulcers,fissure in ano
"ulcer, anal",fissure in ano
"ulcers, anal",fissure in ano
fistula,fistula
fistulas,fistula
flail chest,flail chest
"chest, flail",flail chest
stove-in chest,flail chest
"chest, stove-in",flail chest
stove in chest,flail chest
flatfoot,flatfoot
talipes valgus,flatfoot
"valgus, talipes",flatfoot
splayfoot,flatfoot
flat feet,flatfoot
"feet, flat",flatfoot
pes planus,flatfoot
flat foot,flatfoot
"foot, flat",flatfoot
flatfeet,flatfoot
vertical talus,flatfoot
"talus, vertical",flatfoot
rigid flatfoot,flatfoot
"flatfoot, rigid",flatfoot
rocker-bottom foot,flatfoot
"foot, rocker-bottom",flatfoot
rocker bottom foot,flatfoot
"pes valgus, congenital convex",flatfoot
"vertical talus, congenital",flatfoot
congenital vertical talus,flatfoot
"talus, congenital vertical",flatfoot
convex pes valgus,flatfoot
"pes valgus, convex",flatfoot
convex foot,flatfoot
"foot, convex",flatfoot
talipes calcaneovalgus,flatfoot
"calcaneovalgus, talipes",flatfoot
acquired adult flatfoot deformity,flatfoot
flexible flatfoot,flatfoot
"flatfoot, flexible",flatfoot
flatulence,flatulence
flatus,flatulence
fluoride poisoning,fluoride poisoning
"poisoning, fluoride",fluoride poisoning
fluoride poisonings,fluoride poisoning
"poisonings, fluoride",fluoride poisoning
flushing,flushing
flushings,flushing
focal dermal hypoplasia,focal dermal hypoplasia
"dermal hypoplasias, focal",focal dermal hypoplasia
focal dermal hypoplasias,focal dermal hypoplasia
"hypoplasia, focal dermal",focal dermal hypoplasia
"hypoplasias, focal dermal",focal dermal hypoplasia
goltz-gorlin syndrome,focal dermal hypoplasia
"syndrome, goltz-gorlin",focal dermal hypoplasia
goltz syndrome,focal dermal hypoplasia
"syndrome, goltz",focal dermal hypoplasia
goltz gorlin syndrome,focal dermal hypoplasia
"gorlin syndrome, goltz",focal dermal hypoplasia
"syndrome, goltz gorlin",focal dermal hypoplasia
"dermal hypoplasia, focal",focal dermal hypoplasia
goltz's syndrome,focal dermal hypoplasia
goltzs syndrome,focal dermal hypoplasia
"syndrome, goltz's",focal dermal hypoplasia
focal infection,focal infection
focal infections,focal infection
"infection, focal",focal infection
"infections, focal",focal infection
"focal infection, dental","focal infection, dental"
dental focal infection,"focal infection, dental"
"infection, dental focal","focal infection, dental"
"infections, dental focal","focal infection, dental"
dental focal infections,"focal infection, dental"
"focal infections, dental","focal infection, dental"
folic acid deficiency,folic acid deficiency
"deficiency, folic acid",folic acid deficiency
"acid deficiencies, folic",folic acid deficiency
"acid deficiency, folic",folic acid deficiency
"deficiencies, folic acid",folic acid deficiency
folic acid deficiencies,folic acid deficiency
follicular cyst,follicular cyst
"cyst, follicular",follicular cyst
"cysts, follicular",follicular cyst
follicular cysts,follicular cyst
folliculitis,folliculitis
folliculitides,folliculitis
sycosis,folliculitis
sycoses,folliculitis
food hypersensitivity,food hypersensitivity
food hypersensitivities,food hypersensitivity
"hypersensitivities, food",food hypersensitivity
"hypersensitivity, food",food hypersensitivity
"allergy, food",food hypersensitivity
food allergy,food hypersensitivity
"allergies, food",food hypersensitivity
food allergies,food hypersensitivity
foodborne diseases,foodborne diseases
"disease, foodborne",foodborne diseases
foodborne illnesses,foodborne diseases
foodborne disease,foodborne diseases
food-borne illnesses,foodborne diseases
food borne illnesses,foodborne diseases
food-borne disease,foodborne diseases
food borne disease,foodborne diseases
food-borne illness,foodborne diseases
food borne illness,foodborne diseases
"illness, food-borne",foodborne diseases
foodborne illness,foodborne diseases
"illness, foodborne",foodborne diseases
"illnesses, foodborne",foodborne diseases
food-borne diseases,foodborne diseases
"disease, food-borne",foodborne diseases
food borne diseases,foodborne diseases
food poisoning,foodborne diseases
"poisoning, food",foodborne diseases
food poisonings,foodborne diseases
foot deformities,foot deformities
"deformities, foot",foot deformities
"deformity, foot",foot deformities
foot deformity,foot deformities
metatarsal deformity,foot deformities
"deformities, metatarsal",foot deformities
"deformity, metatarsal",foot deformities
metatarsal deformities,foot deformities
"foot deformities, acquired","foot deformities, acquired"
acquired foot deformities,"foot deformities, acquired"
acquired foot deformity,"foot deformities, acquired"
"deformities, acquired foot","foot deformities, acquired"
"deformity, acquired foot","foot deformities, acquired"
"foot deformity, acquired","foot deformities, acquired"
"foot deformities, congenital","foot deformities, congenital"
congenital foot deformity,"foot deformities, congenital"
"deformity, congenital foot","foot deformities, congenital"
"foot deformity, congenital","foot deformities, congenital"
congenital foot deformities,"foot deformities, congenital"
"deformities, congenital foot","foot deformities, congenital"
foot dermatoses,foot dermatoses
foot dermatosis,foot dermatoses
"dermatoses, foot",foot dermatoses
"dermatosis, foot",foot dermatoses
foot diseases,foot diseases
foot disease,foot diseases
foot rot,foot rot
foot rots,foot rot
"rot, foot",foot rot
"rots, foot",foot rot
foot-and-mouth disease,foot-and-mouth disease
"disease, foot-and-mouth",foot-and-mouth disease
"diseases, foot-and-mouth",foot-and-mouth disease
foot-and-mouth diseases,foot-and-mouth disease
foot and mouth disease,foot-and-mouth disease
forearm injuries,forearm injuries
"injuries, forearm",forearm injuries
forearm injury,forearm injuries
"injury, forearm",forearm injuries
foreign bodies,foreign bodies
"bodies, foreign",foreign bodies
"body, foreign",foreign bodies
foreign body,foreign bodies
foreign objects,foreign bodies
foreign object,foreign bodies
"object, foreign",foreign bodies
"objects, foreign",foreign bodies
gossypiboma,foreign bodies
gossypibomas,foreign bodies
retained surgical sponge,foreign bodies
retained surgical sponges,foreign bodies
"surgical sponge, retained",foreign bodies
"surgical sponges, retained",foreign bodies
textiloma,foreign bodies
textilomas,foreign bodies
retained surgical items,foreign bodies
retained surgical item,foreign bodies
"surgical item, retained",foreign bodies
"surgical items, retained",foreign bodies
retained surgical instruments,foreign bodies
retained surgical instrument,foreign bodies
"surgical instrument, retained",foreign bodies
"surgical instruments, retained",foreign bodies
retained surgical needle,foreign bodies
retained surgical needles,foreign bodies
"surgical needle, retained",foreign bodies
"surgical needles, retained",foreign bodies
retained surgical tools,foreign bodies
retained surgical tool,foreign bodies
"surgical tool, retained",foreign bodies
"surgical tools, retained",foreign bodies
foreign-body migration,foreign-body migration
foreign body migration,foreign-body migration
foreign-body migrations,foreign-body migration
"migration, foreign-body",foreign-body migration
